Abarth,124,Italy,2017,2020,Sports Car
Abarth,500,Italy,2009,present,Supermini
Acura,ILX,Japan,2012,present,Subcompact Executive Car
Acura,Integra,Japan,1986,2006,Subcompact Executive Car
Acura,Integra,Japan,2021,present,Subcompact Executive Car
Acura,MDX,Japan,2001,2020,Mid-Size Luxury SUV
Acura,NSX,Japan,1991,2005,Sports Car
Acura,RDX,Japan,2007,present,Compact Luxury SUV
Acura,RSX,Japan,2002,2006,Subcompact Executive Car
Acura,TL,Japan,1996,2014,Mid-Size Luxury Car
Acura,TLX,Japan,2015,present,Compact Executive Car
Acura,TSX,Japan,2004,2014,Compact Executive Car
Acura,ZDX,Japan,2010,2013,Mid-Size Luxury SUV
Alfa Romeo,145,Italy,1994,2000,Compact Car
Alfa Romeo,146,Italy,1995,2000,Compact Car
Alfa Romeo,147,Italy,2001,2009,Compact Car
Alfa Romeo,155,Italy,1992,1998,Compact Executive Car
Alfa Romeo,156,Italy,1996,2004,Compact Executive Car
Alfa Romeo,159,Italy,2005,2011,Compact Executive Car
Alfa Romeo,164,Italy,1988,1997,Mid-Size Luxury Car
Alfa Romeo,166,Italy,1998,2007,Mid-Size Luxury Car
Alfa Romeo,2000,Italy,1958,1962,Mid-Size Luxury Car
Alfa Romeo,2000 Berlina,Italy,1971,1977,Mid-Size Luxury Car
Alfa Romeo,33,Italy,1983,1994,Compact Car
Alfa Romeo,4c,Italy,2013,2019,Sports Car
Alfa Romeo,75,Italy,1985,1992,Compact Executive Car
Alfa Romeo,Alfetta,Italy,1972,1984,Mid-Size Luxury Car
Alfa Romeo,Brera,Italy,2005,2010,Sports Car
Alfa Romeo,Giulia,Italy,2015,present,Compact Executive Car
Alfa Romeo,Giulietta,Italy,2011,2020,Subcompact Executive Car
Alfa Romeo,GT,Italy,2003,2010,Sports Car
Alfa Romeo,GTV,Italy,1974,1987,Sports Car
Alfa Romeo,Junior,Italy,1966,1974,Sports Car
Alfa Romeo,Mito,Italy,2008,2018,Subcompact Car
Alfa Romeo,Spider,Italy,1966,1994,Sports Car
Alfa Romeo,Stelvio,Italy,2017,present,Mid-Size Luxury SUV
Alfa Romeo,Tonale,Italy,2022,present,Compact SUV
Alpine,A110,France,2017,present,Sports Car
Aston Martin,DB11,United Kingdom,2017,present,Sports Car
Aston Martin,DB9,United Kingdom,2004,2016,Sports Car
